Plate,Sample,Antibiotic,Lineage,replicate,Well,K_max_OD,mu_max,lag_time,rmse,converged,auc
Plate1,T2,No AB,ancestor,1,A10,0.7874,0.03267672069253418,12.219832283599475,0.026589456184372546,TRUE,44.484056564814814
Plate1,T2,No AB,ancestor,2,A11,0.7909499999999999,0.032108867725295136,11.551050638967508,0.024183699794722614,TRUE,44.65125939814815
Plate1,T2,No AB,ancestor,3,A12,0.7853,0.0301342055171589,10.964188527733501,0.019671897624866534,TRUE,45.969553898148135
Plate1,T2,No AB,evolved,1,A6,0.5634,0.0169892218402089,27.682622869204245,0.024088329731548463,TRUE,23.808544675925923
Plate1,T2,No AB,evolved,2,A7,0.6177,0.01841868198990464,28.545161581020356,0.025890524310615694,TRUE,25.256940425925926
Plate1,T2,No AB,evolved,3,A8,0.5981000000000001,0.017827107188468378,27.865856121783768,0.026655159030845515,TRUE,24.761893537037032
Plate2,T3,No AB,ancestor,1,A10,0.8043500000000001,0.029513744447076825,12.211721415448642,0.022130337724419035,TRUE,44.37687899074073
Plate2,T3,No AB,ancestor,2,A11,0.80095,0.030880985212385463,11.19571857263874,0.021048128400626157,TRUE,45.17522671296292
Plate2,T3,No AB,ancestor,3,A12,0.81465,0.02841929813082617,9.646117411100644,0.02075160601645981,TRUE,45.720383212962936
Plate2,T3,No AB,evolved,1,A6,0.58995,0.017398198838565793,45.01254003434235,0.022064774629206668,TRUE,16.97711443518519
Plate2,T3,No AB,evolved,2,A7,0.58975,0.017435961237279057,43.53716366288026,0.02424934369242253,TRUE,17.91606018518518
Plate2,T3,No AB,evolved,3,A8,0.5855000000000001,0.017933843275050754,44.11139412665277,0.02202469816616523,TRUE,17.679409379629636
